Unnamed: 0,CILUBA,French,Score,Sentiment,Nature,English,Zulu,Afrikaans,Sepedi,Xhosa,Shona
31,bunsenji,imbecilité,-1.0,negative,mot,imbecility,ukumbeílity,imbesiliteit,boithabiso,ibbelity,kusimba
32,bantu,gens,0.0,neutral,mot,people,abantu,mense,batho,abantu,vanhu
33,bansatu,saint,2.0,postive,mot,saints,osanta,heiliges,bakgethwa,ingcwele,vasande
34,banjelu,anges,0.0,neutral,mot,angels,izingelosi,engele,barongwa ba,iingelosi,ngirozi
35,buinvi,vol,-2.0,negative,mot,light,ukundiza,vlug,go fofa,indiza,kubhururuka
36,buikila,ferme,-2.0,negative,mot,farm,ipulazi,plaas,polase,ifama,purazi
37,butaka,sexe,1.0,postive,mot,sex,ubulili,seks,thobalano,isondo,bonde
38,bulalu,lit,1.0,postive,mot,bed,umbhede,bed,mpete,ibhedi,mubhedha
39,bufuka,fertile,2.0,postive,mot,fertile,zothile,vrugbaar,nonnego,vertile,yakaorera
40,buatu,bateau,1.0,postive,mot,boat,isikebhe,boot,seketswana,isikhephe,chikepe
41,bukula,farine,2.0,postive,mot,flour,incushuncushu,meel,folouru,umgubo,hupfu
42,kuanyisha,admirer,2.0,postive,verbe,admire,thanda,bewonder,kgahlega,vuma,admire
43,kupiana,adopter,0.0,neutral,verbe,adopt,qoka,aanneem,amogela,ukwamkelwa,anotora
44,kuvundula,agiter,-2.0,negative,verbe,shake,xukuza,skud,ikinya,shake,zunza
46,kubabidila,anticiper,1.0,postive,verbe,anticipate,lindela,verwag,letela,lindela,fungidzira
47,kusanga,assembler,2.0,postive,verbe,assemble,qoqana,monteer,kopanya,dibana,ungana
48,mushipu,automne,-1.0,negative,mot,autumn,ikwindla,herfs,lehlabula,ekwindla,autumn
49,lukinu,haine,-2.0,negative,mot,hate,ukuzonda,haat,hloya,intiyo,kuvenga
50,kukomba,repasser,1.0,postive,verbe,iron,insimbi yokuayina,yster,aene,intsimbi,simbi
51,lusa,pitié,1.0,postive,mot,pity,umunyu,jammer,kwelobohloko,nceba,tsitsi
52,kutela,enumerer,2.0,postive,verbe,list,bhala uhlu,lys,lenaneo,uluhlu,rondedzero
53,kututa,frapper,-1.0,negative,verbe,hit,shaya,tref,betha,hit,rova
54,kuenda,marcher,2.0,neutral,verbe,walk,ukuhamba,om te loop,go sepela,ukuhamba,kufamba
55,kuseka,rigoler,1.0,postive,verbe,laugh,ukuhleka,om te lag,go sega,ukuhleka,kuseka
57,kukumbaja,accomplir,2.0,postive,verbe,accomplish,feza,voltooi,fihlelela,phumeza,zadzisa
59,mulayi,promesse,2.0,postive,mot,promise,thembisa,belowe,tshephio,isithembiso,vimbiso
61,kuja,danser,0.0,neutral,verbe,dance,ukudansa,om te dans,go bina,ukudanisa,kutamba
62,kuimba,chanter,1.0,postive,verbe,sing,cula,sing,opela,cula,imba
65,tshikosu,raccourcis,1.0,postive,mot,shortcuts,amashoshothi,kortpaaie,dikgaoleto,indlela ezimfutshane,shortcuts
66,kututa,fouetter,-2.0,negative,verbe,whisk,ipiski,klits,whisk,whisk,whisk
68,kulala,dormir,1.0,postive,verbe,sleep,ukulala,slaap,robala,ukulala,kurara
69,kubika,reveiller,0.0,neutral,verbe,wake,phaphama,word wakker,tsoga,vuka,wake
70,kukanga,fermer,1.0,postive,verbe,close,ngokuminyanisa,maak toe,tswalela,vala,vhara
73,kuteka,deposer,0.0,neutral,verbe,deposit,faka,deposito,tipositi,idipozithi,dhipoziti
74,kulamba,preparer,1.0,postive,verbe,prepare,lungiselela,berei voor,beakanya,lungiselela,gadzirira
75,kutua,manupuler,1.0,postive,verbe,manipulate,khohlisa,manipuleer,omia boaedi,bonisa,manipulate
76,luntandala,internet,1.0,postive,mot,internet,isiqomanga ka,internet,inthanete,iintanethi,internet
77,kutshiangunya,mancher,1.0,postive,verbe,rancher,isigwedlo,mancher,mancher,imancher,mancher
78,kuduilulula,ruminer,1.0,postive,verbe,ruminating,qumbile,herkou,ruminating,ukuqhuma,kupenya
80,kuipata,chasser,-2.0,negative,verbe,hunt,ukuzingela,jag,tsoma,ukuzingela,kuvhima
81,kunvua,comprendre,1.0,neutral,verbe,understand,ukuqondisisa,om te verstaan,go kweia,ukuqonda,kunzwisisa
82,kukupula,essuyer,0.0,neutral,verbe,wipe,ukusula,om af te vee,go phumola,ukusula,kupukuta
83,mundidimbi,ombre,0.0,neutral,mot,shadow,ithunzi,skaduwee,morithi,isithunzi,mumvuri
84,muedi,barbe,0.0,neutral,mot,beard,intshebe,baard,ditedu,iindevu,ndebvu
85,nsuki,cheveux,1.0,postive,mot,hair,uboya,hare,moriri,iinwele,bvudzi
86,kudiabakena,lamanter,-1.0,negative,verbe,lamenter,olta,lamanter,lamanter,ilamter,lamanter
87,kuzakala,trambler,-2.0,negative,verbe,trembler,umtalamuli,tramper,modiri wa ta go swara dihlare,itrambler,muchengeti
88,kulaba,frotter,1.0,postive,verbe,rub,hlikihla,vryf,fogohla,rub,rub
89,kutukakaja,separer,1.0,postive,verbe,separate,hlungula,skei,kgaogane,hlula,kupatsanura
90,kuakadila,embrasser,1.0,postive,mot,kiss,ukuqabula,te soen,go atlana,ukwanga,kutsvoda
91,kutentakaja,entasser,1.0,postive,verbe,pile,kwunqwabelene,ophoop,kgobola godimo,pakishana,murwi kumusoro
92,kuidikija,couvrir,1.0,postive,verbe,cover,mbathisa,dekking,ireleta,ikhava,chifukidzo
93,kuibaka,construire,1.0,postive,verbe,build,akha,bou,aga,yakha,kuvaka
94,kuitaba,accepter,1.0,postive,verbe,accept,amukela,aanvaar,amogela,yamkela,gamuchira
95,kubenga,refuser,0.0,neutral,verbe,refuse,ala,weier,gana,inyikima,ramba
96,kudifuanyikijila,imaginer,1.0,postive,verbe,imagine,cabanga ngamehlo engqondo,verbeel,nagana,khawufane ucinge,fungidzira
97,tshisokomenu,refuge,1.0,postive,verbe,refuge,inqaba,toevlug,sethabelo,indawo yokusabela,utiziro
99,kujandula,decouvrir,1.0,postive,verbe,discover,thola,ontdek,utolla,fumanisa,tsvaga
100,kuvuluka,rappeler,1.0,postive,verbe,remind,khumbuza,herinner,gopota,khumbulo,yeuchidza
101,kupuamoyo,oublier,1.0,postive,verbe,forget,khohlwa,vergeet,lebala,ulibale,kanganwa
102,kufunda,ecrire,1.0,negative,verbe,write,ukubhala,te skryf,go ngwala,ukubhala,kunyora
104,nvunda,tourbillon,-1.0,negative,mot,whirlwind,shirlwind,warrelwind,ledimo la ledimo,iwhirlwind,chimbudzi
105,nkuba,foudre,-1.0,negative,mot,lightning,unyazi,weerlig,legadima,imibane,mheni
106,dikubakuba,tonnere,-1.0,negative,mot,thunder,ukuduma,donderweer,ledimo,indudumo,kutinhira
107,tshiululu,nuage,0.0,neutral,mot,cloud,amafu,wolk,leru,ilifu,gore
108,malemba,orage,1.0,postive,mot,thunderstorm,isiphepho,donderstorm,ledimo la go duma,indudumo,kutinhira
109,kufunda,accuser,0.0,neutral,verbe,accuse,beka icala,beskuldig,latola,isimangalo,kupomera
110,kusungula,discrimination,-1.0,negative,mot,discrimination,ubandlululo,diskriminasie,kgethollo,ucalucalulo,kusarura
111,kuikisha,reposer,0.0,neutral,verbe,rest,ukuphumula,om te rus,go khuta,ukuphumla,kuzorora
112,kulomba,mendier,-1.0,negative,verbe,beg,cela,smeek,beg,cela,kukumbira
113,mudiavi,gourmant,1.0,postive,mot,gluttonous,gqhobasela,vraatsugtige,go ba le batho ba banti,gluttonous,kubhururuka
114,kuadija,etaler,1.0,postive,verbe,spread,ukubhebhetheka,versprei,phatlalala,usasazeko,paradzira
115,kututula,epoussetter,1.0,postive,verbe,dust,uthuli,stof,lerole,uthuli,guruva
116,kulumbuluisha,juger,1.0,postive,verbe,judge,gweba icala,oordeel,moahlodi,ijaji,mutongi
117,ndumbulula,juge,1.0,postive,mot,judge,gweba icala,oordeel,moahlodi,ijaji,mutongi
118,tshimpumpu,grippe,-1.0,negative,mot,flu,imfuluwenza,griep,mokgohlane,umkhuhlane,flu
120,kuambula,reprendre,1.0,postive,verbe,resume,ukuqhubeka kabusha,te hervat,go thoma gape,ukuphinda uqalise,kutangazve
122,kubula,rentrer,0.0,neutral,verbe,enter,ngena,ingaan,tsena,ngena,pinda
123,muntu,personne,0.0,neutral,mot,person,umuntu,persoon,motho,umntu,munhu
125,dididishi,fenetre,0.0,neutral,mot,window,iwindi,venster,lefasetere,iwindow,hwindo
126,muishi,fumée,0.0,neutral,mot,smoke,shunqisa,rook,mui,umsi,utsi
127,muishi,pilon,1.0,postive,mot,pestle,nguonyana,stamper,pestle,ipestle,pestle
128,lupepela,air,1.0,positive,mot,air,umoya,lug,moya,umoya,mhepo
129,mukuna,montagne,1.0,postive,mot,mountain,intaba,berg,thaba,intaba,gomo
130,kulamba,ramper,1.0,postive,verbe,crawl,gaqa,kruip,gogoba,crawl,kukambaira
131,kulamba,preparer,1.0,postive,verbe,prepare,lungiselela,voorberei,beakanya,lungiselela,gadzirira
132,kubombeka,ramper,1.0,postive,verbe,tramp,umhambuma,boemelaar,sehlabi,tramp,tramp
133,kukosa,trancher,1.0,postive,verbe,slice,sika,sny,selai,isilayi,chidimbu
134,kupanda,dechirer,-1.0,negative,verbe,rip,amongwevu,skeur,gagola,lala kakuhle,rip
135,kupemba,moucher,1.0,postive,verbe,blowhole,shaya ikhala lakho,blaas jou neus,foka nko ya gago,vuthuza impumlo yakho,ridza mhino dzako
137,kujila,chamailler,0.0,neutral,verbe,bicker,ubhilibheli,kibbel,bicker,ibhayisekile,bicker
138,kukonkangana,tirailler,-1.0,negative,verbe,tug,umshushuvu,ruk,go goga,tug,tug
139,kukoka,tirer,1.0,postive,verbe,pull,ukudonsa,te trek,go goga,ukutsala,kudhonza
140,kuinama,incliner,1.0,postive,verbe,tilt,tsheka,kantel,sekamane,tella,tha
141,kuambula,creuser,1.0,postive,verbe,dig,mba,grawe,epa,dig,chera
142,kutubula,trouer,1.0,postive,verbe,hole,umgodi,gat,leoba,umngxunya,gomba
143,kukonya,gratter,0.0,neutral,verbe,scratch,dweba,krap,ngwapa,ukukrala,kukwenya
144,tshivulukilu,souvenir,1.0,postive,verbe,memory,ukukhumbula,geheue,kgopolo,imemori,ndangariro
145,kutonda,repentir,2.0,postive,verbe,repentance,ukuphenduka,bekering,tshokologo,inguquko,kupfidza
146,kutela,coudre,1.0,postive,verbe,sew,hida,naaldwerk,rokile,thunga,sew
147,kuela,moudre,0.0,neutral,verbe,grind,phothula,maal,ila,grind,grind
148,kusuma,mordre,0.0,neutral,verbe,bite,ukuluma,te byt,go loma,ukuluma,kuruma
149,kudima,cultivre,1.0,postive,verbe,cultivate,zijwayeza,kweek,hlagolela,hlakulela,vavarira
150,kukuna,semer,1.0,postive,verbe,sow,thwalwa,saai,bjala,hlwayela,kudyara
151,kuhola,recolter,1.0,postive,verbe,harvest,okuvuniweyo,oes,buna,ukuvuna,gohwo
152,mulami,gardien,1.0,postive,mot,guardian,umondli,voog,mohlokomedi,umlondolozi,muchengeti
153,kuihila,sarcle,1.0,postive,mot,weed,ukhula,onkruid,ngwang,ukhula,masora
154,kuakula,castrer,1.0,postive,verbe,castrate,xholosa,kastreer,castrate,thambisa,kutakurwa
155,kutengula,circonsir,1.0,postive,verbe,circumcise,soka,besny,boloki bja go bolota,walusa,kudzingisa
156,kunungana,murmurer,1.0,postive,verbe,whisper,nyenyeza,fluister,hwenahwena,whisper,whisper
157,kubobesha,murmure,1.0,postive,verbe,whisper,nyenyeza,fluister,hwenahwena,whisper,whisper
158,kuluatshisha,fairehabiller,1.0,postive,verbe,dress,ukugqoka,aan te trek,go apara,ukunxiba,kupfeka
159,kuvuadika,habiller,1.0,postive,verbe,dress,gqoka,rok,seaparo,nxiba,chipfeko
160,munganga,infirmier,1.0,postive,mot,nurse,umhlengi,verpleegster,mooki,umongikazi,mukoti
161,kuanyisha,informer,1.0,postive,verbe,inform,tshela,inlig,tsebia,yazisa,zivisa
162,kuvuija,expliquer,1.0,postive,verbe,explain,chasisa,verduidelik,hlaloa,chaza,tsanangura
163,kunua,boire,1.0,postive,verbe,drink,phuza,drink,nwa,isiselo,kunwa
164,kusangisha,additionner,1.0,postive,verbe,add,enezelela,byvoeg,hlakanya,yongeza,wedzera
165,nvita,guerre,-2.0,negative,mot,war,ukulwa,oorlog,ntwa,imfazwe,hondo
166,kujika,enterrer,-1.0,negative,verbe,bury,ngcwaba,begrawe,boloka,ukungcwaba,kuviga
167,kuakaja,arranger,1.0,postive,verbe,arrange,lungisa,reël,beakanya,cwangcisa,ronga
168,kulela,accoucher,1.0,postive,verbe,birth,zala,geboorte gee,go belega,zala,zvara
169,kulengeja,embelir,1.0,postive,verbe,beautify,nhle,verfraai,go kgabia,ubuhle,kushora
170,kukezula,purifier,1.0,postive,verbe,purify,hlanza,suiwer,hlwekia,hlamba,chinatsa
171,kusukula,nettoyer,1.0,postive,verbe,clean,hlanza,skoon,hlwekile,icocekile,chenesa
172,kabalamatuku,calendrier,1.0,postive,mot,calendar,unsukuzonke,kalender,thupamabaka ya,ikhalenda,karenda
173,kubueja,inserer,1.0,postive,verbe,insert,faka,invoeg,tsenya,faka,isa
174,kuludika,adresser,1.0,postive,verbe,address,beka,adres,aterese,idilesi,kero
175,kubela,eduquer,1.0,postive,verbe,educate,fundisa,opvoed,ruta,fundisa,dzidzisa
177,kutshimuna,vaincre,1.0,postive,verbe,defeat,nqoba,nederlaag,fenya,yoyisiwe,kukunda
178,kutumbisha,louer,1.0,postive,verbe,rent,ukuqasha,te verhuur,go hira,ukuqesha ngaphandle,kubvarura
179,kukukuila,adorer,1.0,postive,verbe,worship,dumisa,aanbidding,tumia,unqulo,kunamata
180,kutangalaja,propager,1.0,postive,verbe,propagate,landa,voortplant,phatlalata,ukusasazeka,paradzira
181,dizakala,tremblement,1.0,postive,verbe,tremor,ukuzamazama komhlaba okulamalisa amanje,bewing,go thothomela,ungcangcazela,trement
182,kuzakala,trembler,1.0,postive,verbe,tremble,qhaqhazela,bewe,thothomela,thuthumela,kudedera
183,kutshibuka,fracturer,-1.0,negative,verbe,fracture,ukwaphuka,breuk,go robega,ukwaphuka,kupwanyika
184,kukuta,rassasier,1.0,postive,verbe,satiate,isilingisi,versadig,kgegea,sathise,satiate
186,kutemesha,allumer,1.0,postive,verbe,light,ukukhanyisa,te verlig,go bonea,ukukhanyisa,kuvhenekera
187,kusemena,approcher,1.0,postive,verbe,approach,sondela,benadering,batamela,indlela,nzira
188,kuntekela,observer,1.0,neutral,verbe,observe,phawula,waarneem,lemoga,qaphela,cherechedza
190,kumonununa,revoir,1.0,postive,verbe,goodbye,hamba kahle,totsiens,ala gabotse,sala kakuhle,sara mushe
191,kutshina,craindre,1.0,postive,verbe,fear,ukwesaba,te vrees,go tshaba,ukoyika,kutya
192,kuluka,vomir,-1.0,negative,verbe,vomit,ukugabha,om te braak,go hlata,ukuhlanza,kurutsa
193,miengu,nauser,-1.0,negative,verbe,nause,ngenisa,naarheid,go hlata,inause,kusuwa
194,tshieleka,serment,1.0,postive,verbe,oath,isifungo,eed,kano,isifungo,mhiko
195,kowela,nager,1.0,postive,verbe,swim,bhukuda,swem,rutha,ukuqubha,shambira
196,kudina,noyer,0.0,neutral,verbe,walnut,ziyadliwa,okkerneut,walnut,iwalnut,walnut
197,kuhuyakana,respirer,1.0,postive,verbe,breathe,phefumula,asemhaal,hema,uphefumla,kufema
198,kuinyija,plonger,1.0,postive,verbe,dive,ziphonsa ngekhanda emanzini,duik,thinya,dive,dive
199,kubola,mouiller,-1.0,negative,verbe,wet,manzi,nat,thapile,emanzi,kunyorova
200,kubungila,somnoler,1.0,postive,verbe,doze,qaphela,sluimer,doze,idoze,doze
201,kulota,rever,1.0,postive,verbe,dream,iphupha,droom,toro,iphupha,kurota
202,butuku,nuit,-1.0,negative,mot,night,ubusuku,nag,boego,busuku,husiku
203,dituku,jour,2.0,neutral,mot,day,usuku,dag,letati,usuku,zuva
204,ditunga,pays,2.0,positive,mot,country,izwe,land,naga,ilizwe,nyika
205,kumuenena,dominer,2.0,postive,verbe,dominate,busa,oorheers,laola,kulawula,kutonga
206,tshimenga,ville,2.0,postive,mot,city,idolobha,stad,toropokgolo,isixeko,guta
207,mulondi,village,2.0,positive,mot,village,umuzi,dorpie,motse,ilali,musha
208,kuvuma,vibrer,2.0,postive,verbe,vibrate,vevezela,vibreer,go thothomela,hluma,vibrate
209,mulondi,coureur,2.0,postive,verbe,runner,umgijimi,hardloper,semathi,imbaleki,mumhanyi
210,momunyi,voyant,2.0,postive,verbe,indicator,okokukhonkotha,aanwyser,seupo sa,isalathi,chiratidzo
211,nsanyanga,sentiment,2.0,postive,mot,feeling,ukuzwakala,gevoel,maikutlo,imvakalelo,kunzwa
213,kukehesha,reduire,2.0,postive,verbe,reduce,phungula,verminder,fokota,ukunciphisa,kuderedza
214,mavuala,vague,-1.0,negative,mot,wave,vayizela,golf,lephoto,amaza,wave
215,tshipepela,tempete,-1.0,negative,mot,storm,isivunguvungu,storm,ledimo,isaqhwithi,dutu
216,kudiombola,decevoir,-1.0,negative,verbe,disappoint,dumaza,teleurstel,kganyoga,ukuphoxeka,kuodza moyo
217,munyengi,cambrioleur,-1.0,negative,verbe,burglar,umgqekezi,inbreker,mohodu wa lehodu,burglar,burglar
218,kukankamija,encourager,2.0,postive,mot,encourage,khuthaza,aanmoedig,hlohleleta,khuthaza,kurudzira
219,didisankisha,rendreheureux,2.0,postive,verbe,happy,yenza ujabule,gelukkig maak,dira gore o thabe,yonwaba,ita kufara
221,kumupetesha,apporter,2.0,neutral,verbe,bring,letha,bring,tlia,yizise,uyai
222,ditekemena,esperance,2.0,postive,mot,hope,ithemba,hoop,kholofelo,ithemba,tariro
223,kulongesha,enseigner,2.0,postive,verbe,teach,fundisa,leer,ruta,fundisa,dzidzisa
224,kukonkolola,examiner,2.0,postive,verbe,examine,hlola,ondersoek,hlahloba,vavanya,ona
225,kanyinganyinga,stress,-2.0,negative,mot,stress,ubunzima,stres,kgatelelo,uxinzelelo,kushushikana
226,kutantamena,supporter,1.0,postive,verbe,support,singatha,ondersteun,thekga,inkxaso,tsigiro
227,kansungansunga,injustice,-1.0,negative,mot,injustice,ukwenza okungalungile,onregverdigheid,go hloka toka,ukungabikho kokusesikweni,kururamisira
228,kukumbaja,realiser,1.0,neutral,verbe,realize,bona,besef,lemoga,qaphela,ziva
229,biabunyi,abondance,1.0,postive,mot,abundance,ubuningi,oorvloed,bonti,ubuninzi,zvakawanda
230,kumusha,enlever,1.0,postive,verbe,remove,ukususa,te verwyder,go tlosa,ukususa,kubvisa
231,tshijiengu,cercle,1.0,postive,mot,circle,zungeza,sirkel,sediko,isangqa,denderedzwa
232,buloba,terre,1.0,postive,mot,earth,inhlabathi,aarde,lefase,umhlaba,pasi
235,bikukibua,creature,1.0,postive,mot,creature,isilwane,skepsel,sebopiwa,isidalwa,chisikwa
236,moyi,vie,1.0,positive,mot,life,impilo,lewe,bophelo,ubomi,hupenyu
237,bulelela,verité,1.0,postive,mot,truth,iqiniso,waarheid,bonnete,inyani,chokwadi
239,kunianga,abimer,-1.0,negative,verbe,damage,umonakalo,skade,tshenyo,umonakalo,kukuvara
241,biabunyi,beaucoup,1.0,neutral,mot,lot,okuningi,baie,kudu,okuninzi,zvakawanda
242,tshikondo,periode,1.0,neutral,mot,period,isikhathi,tydperk,paka,ixesha,nguva
244,dimanya,connaissance,1.0,neutral,mot,awareness,ukuzwa,bewustheid,temogo,ukwazisa,kuziva
245,mpokolo,source,1.0,postive,mot,source,umthombo,bron,mothopo,umthombo,kunobva
249,tshibuashabuasha,univers,1.0,postive,mot,universe,umhlaba wonke kanye nezulu,heelal,legohle la legohle,indalo,zvakasikwa
250,mitoto,etiole,1.0,postive,mot,petiole,etiole,etiool,etiole,ieiole,etiole
251,butoke,eclairer,1.0,postive,verbe,enlighten,akhanyi,verlig,seeta,khanyisela,kuvhenekerwa
253,kuteleja,ecouter,1.0,postive,verbe,listen,beka indlebe,luister,theeleta,mamela,teerera
254,diyi,voix,1.0,postive,mot,voice,iphimbo,stem,lentu,ilizwi,izwi
255,mubidi,corps,1.0,postive,mot,body,umzimba,liggaam,mmele,umzimba,muviri
256,mashi,sang,1.0,postive,mot,blood,igazi,bloed,madi,igazi,ropa
259,mpukapuka,hasard,1.0,positive,mot,chance,ithuba,kans,sebaka,ithuba,mukana
261,tshinfuanyi,image,1.0,postive,mot,picture,isithombe,prentjie,seswantho,umfanekiso,mufananidzo
262,ngikadilu,qualiter,1.0,neutral,mot,quality,isimo,kwaliteit,boleng,umgangatho,mhando
263,bukokeshi,autoriter,1.0,postive,mot,authorize,gunyaza,magtig,dumelela,gunyazisa,bvumidza
265,kusambila,prier,1.0,postive,verbe,pray,cela,bid,rapela,thandaza,namata
266,kukumbana,convenir,1.0,postive,verbe,agree,vumelana,stem saam,dumela,vuma,bvumirana
267,bulunda,amitier,1.0,postive,mot,friendship,ubudlelwane,vriendskap,segwera,ubuhlobo,hushamwari
269,mushinga,prix,1.0,postive,mot,price,intengo,prys,theko,ixabiso,mutengo
272,kusamba,consoler,1.0,postive,verbe,console,ikhonsoli,konsole,console,ikhonkco,console
273,kusangisha,rejouire,1.0,postive,verbe,rejoice,thokoza,jubel,thabang,yibani nemihlali,farai
274,kushituluka,changer,1.0,postive,verbe,change,ukushintsha,te verander,go fetoga,ukutshintsha,kuchinja
275,makenga,souffrance,1.0,postive,mot,suffering,ukuhlupheka,lyding,go tlaiega,ukubandezeleka,kutambura
276,kuludika,redresser,1.0,neutral,verbe,sort,ukulunga,uit te sorteer,go rarolla ntle,ukuhlela ngaphandle,kuronga
279,kupumuna,epancher,1.0,postive,verbe,spread,ukubhebhetheka,versprei,phatlalala,usasazeko,paradzira
280,ditalala,paix,1.0,positive,mot,peace,ukuthula,vrede,khuto,uxolo,runyararo
281,kudisangisha,reunir,1.0,postive,verbe,reunite,hlanganisa futhi,herenig,kopanya gape,phinda,reunite
282,diku,famille,1.0,neutral,mot,family,umndeni,familie,lapa,usapho,mhuri
283,tshisumbu,groupe,1.0,postive,mot,band,isibopho,band,lepanta,band,bhendi
284,mikenji,lois,1.0,neutral,mot,laws,imithetho,wette,melao,imithetho,mitemo
285,ntemu,temoin,1.0,postive,mot,witness,fakazela,getuie,hlatse,ingqina,chapupu
286,kushima,mentir,-1.0,negative,verbe,lie,ginqika,lieg,maaka,ubuxoki,kunyepa
287,tshisangilu,reunion,1.0,positive,mot,meeting,umhlangano,vergadering,kopano,intlanganiso,musangano
290,kuibidila,habitude,1.0,postive,mot,habit,isiko,gewoonte,setlwaedi,umkhwa,tsika
291,madilu,deuil,-1.0,negative,mot,grief,ubuhlungu,hartseer,bohloko,usizi,kusuwa
293,bipepela,facile,1.0,postive,mot,easy,ncwaba,maklik,bonolo,kulula,nyore
294,kusungula,choisir,1.0,postive,verbe,choose,qoka,kies,kgetha,khetha,sarudza
296,bulongolodi,organisation,1.0,postive,mot,organization,inhlangano,organisasie,mokgatlo,umbutho,sangano
297,kucimuna,vincrait,1.0,postive,mot,vincrait,uhlobo lwevincroit,vincrait,vincrait,ivincrait,vincrait
298,kusuminyina,ainsister,1.0,postive,verbe,sister,uonkelisi,soster,soster,isoster,soster
299,kutunguluka,continuer,1.0,postive,verbe,continue,qhubeka,gaan voort,twela pele,qhubeka,enderera
300,mufuki,createur,1.0,postive,mot,creator,umdali,skepper,mmopi,umdali,musiki
301,kukokela,soumission,1.0,postive,mot,submission,ukuthobela,voorlegging,boikokobeto,inguquko,kuzviisa pasi
302,disanka,joie,1.0,postive,mot,joy,injabulo,vreugde,boipshino,uvuyo,mufaro
303,kukumbaja,ajouter,1.0,postive,verbe,add,enezelela,byvoeg,hlakanya,yongeza,wedzera
304,mukaji,femme,1.0,neutral,mot,women,abantu,vroue,basadi,abafazi,vakadzi
306,kabutu,destruiction,1.0,postive,mot,destruction,isibhicongo,vernietiging,tshenyo,intshabalalo,kuparadzwa
307,lukuka,aviditer,1.0,postive,mot,greedy,ukuhaha,gierigheid,megabaru,ukubawa,makaro
308,muana,descendance,1.0,postive,mot,descendants,inzalo,afstammelinge,ditlogolo,inzala,vazukuru
309,biabunyi,immence,1.0,postive,mot,immense,landelana,immens,emmence,immensi,kusevha
310,lulamatu,fideliter,1.0,postive,mot,loyalty,ukuba neqiniso,lojaliteit,botshepegi,ukuthembeka,kuvimbika
311,kudipuekesha,humilter,1.0,postive,mot,humiliate,dumaza,verneder,mokokotlo wa go kokobeta,hlaziya,zvinonyadzisa
312,kukuba,proteger,1.0,postive,verbe,protect,vikela,beskerm,ireleta,khusela,chengetedza
