,CILUBA,French,Score,Sentiment,Nature,English,Zulu,Afrikaans,Sepedi,Xhosa,Shona
25,Binvundu,Desordre,-3.0,negative,Mot,Mess,Nyakanyekisa,Gemors,Bošaedi,Ukungcola,Nyonganiso
26,Bilongu,Fleurs,6.0,postive,Mot,Flowers,Izimbali,Blomme,Matšoba a .,Iintyatyambo,Maruva
27,Kubunya,Plier,8.0,postive,Verbe,Bend,Gobisa,Buig,Koba,Gobe,Bend
28,Bulela,Verité,8.0,postive,Mot,Truth,Iqiniso,Waarheid,Bonnete,Inyani,Chokwadi
29,Bujitu,Poid,9.0,postive,Mot,Weight,Isisindo,Gewig,Boima,Ubunzima,Uremu
30,Bunsantu,Sainteté,8.0,postive,Mot,Holiness,Ubungcwele,Heiligheid,Bokgethwa .,Ubungcwele,Hutsvene
31,Bunsenji,Imbecilité,-3.0,negative,Mot,Imbecility,Ukumbeílity,Imbesiliteit,Boithabiso .,Ibbelity,Kusimba
32,Bantu,gens,1.0,postive,Mot,people,abantu,mense,batho,abantu,vanhu
33,Bansatu,Saints,9.0,postive,Mot,Saints,Osanta,Heiliges,Bakgethwa .,Iingcwele,Vasande
34,Banjelu,Anges,1.0,postive,Mot,Angels,Izingelosi,Engele,Barongwa ba .,Iingelosi,Ngirozi
35,Buinvi,Vol,-9.0,negative,Mot,Flight,Ukundiza,Vlug,Go fofa,Indiza,Kubhururuka
36,Buikila,Ferme,-8.0,negative,Mot,Farm,Ipulazi,Plaas,Polase,Ifama,Purazi
37,Butaka,Sexe,3.0,postive,Mot,Sex,Ubulili,Seks,Thobalano .,Isondo,Bonde
38,Bulalu,Lit,2.0,postive,Mot,Bed,Umbhede,Bed,Mpete,Ibhedi,Mubhedha
39,Bufuka,Fertile,6.0,postive,Mot,Fertile,-Zothile,Vrugbaar,Nonnego,Vertile,Yakaorera
40,Buatu,Bateau,5.0,postive,Mot,Boat,Isikebhe,Boot,Seketswana,Isikhephe,Chikepe
41,Bukula,Farine,8.0,postive,Mot,Flour,Incushuncushu,Meel,Folouru,Umgubo,Hupfu
42,Kuanyisha,Admirer,9.0,postive,Verbe,Admire,Thanda,Bewonder,Kgahlega,Vuma,Admire
43,Kupiana,Adopter,1.0,postive,Verbe,Adopt,Qoka,Aanneem,Amogela,Ukwamkelwa,Anotora
44,Kuvundula,Agiter,-8.0,negative,Verbe,Shake,Xukuza,Skud,Šikinya,Shake,Zunza
45,Kuambila,Annoncer,4.0,postive,Verbe,Announce,Memezela,Kondig aan,Tsebisa .,Ngcwambulo,Chiziviso
46,Kubabidila,Anticiper,5.0,postive,Verbe,Anticipate,Lindela,Verwag,Letela,Lindela,Fungidzira
47,Kusanga,Assembler,9.0,postive,Verbe,Assemble,Qoqana,Monteer,Kopanya .,Dibana,Ungana
48,Mushipu,Automne,-5.0,negative,Mot,Autumn,Ikwindla,Herfs,Lehlabula,Ekwindla,Autumn
49,Lukinu,Haine,-8.0,negative,Mot,Hate,Ukuzonda,Haat,Hloya,Intiyo,Kuvenga
50,Kukoma,Repasser,3.0,postive,Verbe,Iron,Insimbi yoku-ayina,Yster,Aene,Intsimbi,Simbi
51,Lusa,Pitié,4.0,postive,Mot,Pity,Umunyu,Jammer,Kwelobohloko,Nceba,Tsitsi
52,Kutela,Enumerer,6.0,postive,Verbe,List,Bhala uhlu,Lys,Lenaneo,Uluhlu,Rondedzero
53,Kututa,Frapper,-5.0,negative,Verbe,Hit,Shaya,Tref,Betha,Hit,Rova
54,Kuenda,Marcher,7.0,postive,Verbe,To walk,Ukuhamba,Om te loop,Go sepela .,Ukuhamba,Kufamba
55,Kuseka,Rigoler,3.0,postive,Verbe,To laugh,Ukuhleka,Om te lag,Go sega .,Ukuhleka,Kuseka
56,Kupeta,Trouver,7.0,postive,Verbe,Find,Fumana,Vind,Hwetša,Fumana,Tsvaga
57,Kukumbaja,Accomplir,9.0,postive,Verbe,Accomplish,Feza,Voltooi,Fihlelela,Phumeza,Zadzisa
58,Kuhuja,Remplir,1.0,postive,Verbe,Fill,Gcwalisa,Vul,Tlatša,Gcwalisa,Zadza
59,Mulayi,Promesse,6.0,postive,Mot,Promise,Thembisa,Belowe,Tshephišo,Isithembiso,Vimbiso
60,Kupesha,Donner,1.0,postive,Verbe,Give,Khangeza,Gee,Fa,Nika,Ipa
61,Kuja,Danser,1.0,postive,Verbe,To dance,Ukudansa,Om te dans,go bina .,Ukudanisa,Kutamba
62,Kuimba,Chanter,5.0,postive,Verbe,Sing,Cula,Sing,Opela,Cula,Imba
63,Kupangila,Rater,-9.0,negative,Verbe,Miss,Khumbula,Mej,Fetilwe,Phosa,Kupotsa
64,Kupangila,Manquer,-9.0,negative,Verbe,Miss,Khumbula,Mej,Fetilwe,Phosa,Kupotsa
65,Tshikosu,Raccourcis,4.0,postive,Mot,Shortcuts,Amashoshothi,Kortpaaie,Dikgaoletšo .,Iindlela ezimfutshane,Shortcuts
66,Kututa,Fouetter,-8.0,negative,Verbe,Whisk,Ipiski,Klits,Whisk .,Whisk,Whisk
67,Dimanya,Savoir,6.0,postive,Verbe,Know,Bona,Weet,Tseba,Yazi,Ziva
68,Kulala,Dormir,2.0,postive,Verbe,Sleep,Ukulala,Slaap,Robala,Ukulala,Kurara
69,Kubika,Reveiller,1.0,postive,Verbe,Wake,Phaphama,Word wakker,Tsoga,Vuka,Wake
70,Kukanga,Fermer,4.0,postive,Verbe,Close,Ngokuminyanisa,Maak toe,Tswalela,Vala,Vhara
71,Kulomba,Demander,5.0,postive,Verbe,Ask,Buza,Vra,Kgopela,Buza,Bvunza
72,Kualuja,Remettre,2.0,postive,Verbe,To put back,Ukubuyisela emuva,Om terug te sit,go bušetša morago .,Ukubuyisela umva,Kudzosera kumashure
73,Kuteka,Deposer,1.0,postive,Verbe,Deposit,Faka,Deposito,Tipositi,Idipozithi,Dhipoziti
74,Kulamba,Preparer,3.0,postive,Verbe,Prepare,Lungiselela,Berei voor,Beakanya,Lungiselela,Gadzirira
75,Kutua,Manupuler,3.0,postive,Verbe,Manipulate,Khohlisa,Manipuleer,Šomiša bošaedi,Bonisa,Manipulate
76,Luntandala,Internet,2.0,postive,Mot,Internet,Isiqomanga ka-,Internet,Inthanete .,I-Intanethi,Internet
77,Kutshiangunya,Mancher,3.0,postive,Verbe,Mancher,Isigwedlo,Mancher,Mancher .,I-mancher,Mancher
78,Kuduilulula,Ruminer,4.0,postive,Verbe,Ruminating,-Qumbile,Herkou,Ruminating .,Ukuqhuma,Kupenya
79,Kunyema,Courir,1.0,postive,Verbe,Run,Gijima,Hardloop,Kitima,Baleka,Kumhanya
80,kuipata,Chasser,-7.0,negative,Verbe,Hunt,Ukuzingela,Jag,Tsoma,Ukuzingela,Kuvhima
81,Kunvua,Comprendre,2.0,postive,Verbe,To understand,Ukuqondisisa,Om te verstaan,go kwešiša .,Ukuqonda,Kunzwisisa
82,Kukupula,Essuyer,1.0,postive,Verbe,To wipe,Ukusula,Om af te vee,Go phumola .,Ukusula,Kupukuta
83,Mundindimbi,Ombre,1.0,postive,Mot,Shadow,Ithunzi,Skaduwee,Morithi,Isithunzi,Mumvuri
84,Muedi,Barbe,1.0,postive,Mot,Beard,Intshebe,Baard,Ditedu,Iindevu,Ndebvu
85,Nsuki,Cheveux,2.0,postive,Mot,Hair,Uboya,Hare,Moriri,Iinwele,Bvudzi
86,Kudiabakena,Lamanter,-5.0,negative,Verbe,Lamanter,Olta,Lamanter,Lamanter .,I-Lamter,Lamanter
87,Kuzakala,Trambler,-9.0,negative,Verbe,Trambler,Umtalamuli,Tramper,Modiri wa tša go swara dihlare .,I-trambler,Muchengeti
88,kulaba,frotter,4.0,postive,Verbe,rub,hlikihla,vryf,fogohla,rub,rub
89,kutukakaja,separer,4.0,postive,Verbe,separate,hlungula,skei,kgaogane,hlula,kupatsanura
90,kuakadila,embrasser,4.0,postive,Mot,to kiss,Ukuqabula,te soen,go atlana .,ukwanga,kutsvoda
91,kutentakaja,entasser,4.0,postive,Verbe,pile up,kwunqwabelene,ophoop,Kgobola godimo .,pakishana,murwi kumusoro
92,kubuidikija,couvrir,4.0,postive,Verbe,cover,mbathisa,dekking,šireletša,ikhava,chifukidzo
93,kuibaka,construire,4.0,postive,Verbe,build,akha,bou,aga,yakha,kuvaka
94,kuitaba,accepter,4.0,postive,Verbe,accept,amukela,aanvaar,amogela,yamkela,gamuchira
95,kubenga,refuser,-2.0,negative,Verbe,refuse,ala,weier,gana,inyikima,ramba
96,kudifuanyikijila,imaginer,2.0,postive,Verbe,imagine,cabanga ngamehlo engqondo,verbeel,nagana,khawufane ucinge,fungidzira
97,tshisokomenu,refuge,2.0,postive,Verbe,refuge,inqaba,toevlug,Setšhabelo .,indawo yokusabela,utiziro
98,kunzulula,ouvrir,2.0,postive,Verbe,open,vula,oopmaak,bula,vula,vhura
99,kujandula,decouvrir,2.0,postive,Verbe,discover,thola,ontdek,utolla,fumanisa,tsvaga
100,kuvuluka,rappeler,2.0,postive,Verbe,remind,khumbuza,herinner,gopotša,khumbulo,Yeuchidza
101,kupuamoyo,oublier,2.0,postive,Verbe,forget,khohlwa,vergeet,lebala,ulibale,kanganwa
102,kufunda,ecrire,2.0,postive,Verbe,to write,ukubhala,te skryf,Go ngwala .,ukubhala,kunyora
103,kusumba,acheter,2.0,postive,Verbe,buy,thenga,koop,reka,Thenga,tenga
104,nvunda,tourbillon,-4.0,negative,Mot,whirlwind,shirlwind,warrelwind,Ledimo la ledimo .,i-whirlwind,chimbudzi
105,nkuba,foudre,-4.0,negative,Mot,lightning,unyazi,weerlig,legadima,imibane,Mheni
106,dikubakuba,tonnere,-4.0,negative,Mot,thunder,ukuduma,donderweer,ledimo,indudumo,kutinhira
107,tshiululu,nuage,1.0,postive,Mot,cloud,amafu,wolk,leru,ilifu,gore
108,malemba,orage,4.0,postive,Mot,thunderstorm,isiphepho,donderstorm,Ledimo la go duma .,Indudumo,Kutinhira
109,kufunda,accuser,-2.0,negative,Verbe,accuse,beka icala,beskuldig,Latola .,isimangalo,kupomera
110,kusungulula,discrimination,-3.0,negative,Mot,discrimination,ubandlululo,diskriminasie,kgethollo,ucalucalulo,Kusarura
111,kuikisha,reposer,1.0,postive,Verbe,to rest,ukuphumula,om te rus,Go khutša .,ukuphumla,kuzorora
112,kulomba,mendier,-5.0,negative,Verbe,beg,cela,smeek,Beg .,cela,kukumbira
113,mudiavi,gourmant,2.0,postive,Mot,gluttonous,gqhobasela,vraatsugtige,Go ba le batho ba bantši .,gluttonous,kubhururuka
114,kuadija,etaler,2.0,postive,Verbe,spread,ukubhebhetheka,versprei,phatlalala,usasazeko,paradzira
115,kututula,epoussetter,2.0,postive,Verbe,dust,uthuli,stof,lerole,uthuli,guruva
116,kulumbuluisha,juger,2.0,postive,Verbe,judge,gweba icala,oordeel,moahlodi,ijaji,Mutongi
117,ndumbulula,juge,2.0,postive,Mot,judge,gweba icala,oordeel,moahlodi,ijaji,Mutongi
118,tshimpumpu,grippe,-3.0,negative,Mot,flu,imfuluwenza,griep,mokgohlane,umkhuhlane,flu
119,mbangidi,commencement,6.0,postive,Mot,beginning,ukuqala,begin,mathomong,ukuqala,kutanga
120,kuambula,reprendre,3.0,postive,Verbe,to resume,Ukuqhubeka kabusha,te hervat,Go thoma gape .,ukuphinda uqalise,kutangazve
121,ngena,enfer,-9.0,negative,Mot,hell,isihogo,hel,hele,isihogo,gehena
122,kubuela,entrer,1.0,postive,Verbe,enter,ngena,ingaan,tsena,ngena,pinda
123,muntu,personne,1.0,postive,Mot,person,umuntu,persoon,motho,umntu,munhu
124,kupatuka,sortir,1.0,postive,Verbe,to go out,ukuphuma,om uit te gaan,Go tšwa .,ukuphuma,kubuda
125,dididishi,fenetre,1.0,postive,Mot,window,iwindi,venster,lefasetere,iwindow,hwindo
126,muishi,fumée,-1.0,negative,Mot,smoke,shunqisa,rook,muši,umsi,utsi
127,muiishi,pilon,2.0,postive,Mot,pestle,nguonyana,stamper,Pestle .,i-pestle,pestle
128,lupepela,air,4.0,postive,Mot,air,umoya,lug,moya,umoya,mhepo
129,mukuna,montagne,4.0,postive,Mot,mountain,intaba,berg,thaba,intaba,Gomo
130,kulaamba,ramper,4.0,postive,Verbe,crawl,gaqa,kruip,gogoba,crawl,kukambaira
131,Kulamba,preparer,4.0,postive,Verbe,prepare,lungiselela,voorberei,beakanya,lungiselela,gadzirira
132,kubombeka,tramper,4.0,postive,Verbe,tramp,umhambuma,boemelaar,Sehlabi .,tramp,tramp
133,kukosa,trancher,4.0,postive,Verbe,slice,sika,sny,selai,isilayi,chidimbu
134,kupanda,dechirer,-3.0,negative,Verbe,rip,amongwevu,skeur,gagola,Lala kakuhle,rip
135,kupemba,moucher,4.0,postive,Verbe,blow your nose,Shaya ikhala lakho,blaas jou neus,Foka nko ya gago .,vuthuza impumlo yakho,Ridza mhino dzako
136,kusaminamoyi,manquer,-2.0,negative,Verbe,miss,khumbula,mis,fetilwe,phosa,kupotsa
137,kujila,chamailler,-1.0,negative,Verbe,bicker,ubhilibheli,kibbel,Bicker .,ibhayisekile,bicker
138,kukokangana,tirailler,-6.0,negative,Verbe,tug,umshushuvu,ruk,Go goga .,tug,tug
139,kukoka,tirer,2.0,postive,Verbe,to pull,ukudonsa,te trek,Go goga .,ukutsala,kudhonza
140,kuinama,incliner,2.0,postive,Verbe,tilt,tsheka,kantel,Sekamane .,tella,tha
141,kumbula,creuser,2.0,postive,Verbe,dig,mba,grawe,epa,dig,chera
142,kutubula,trouer,2.0,postive,Verbe,hole,umgodi,gat,lešoba,umngxunya,gomba
143,kukonya,gratter,-1.0,negative,Verbe,scratch,dweba,krap,ngwapa,ukukrala,kukwenya
144,tshivulukilu,souvenir,5.0,postive,Verbe,memory,ukukhumbula,geheue,kgopolo,imemori,ndangariro
145,kutonda,repentir,6.0,postive,Verbe,repentance,ukuphenduka,bekering,tshokologo .,inguquko,Kupfidza
146,kutela,coudre,2.0,postive,Verbe,sew,hida,naaldwerk,rokile,thunga,sew
147,kupela,moudre,1.0,postive,Verbe,grind,phothula,maal,šila,grind,Grind
148,kusuma,mordre,-2.0,negative,Verbe,to bite,ukuluma,te byt,Go loma .,ukuluma,kuruma
149,kudima,cultivre,3.0,postive,Verbe,cultivate,zijwayeza,kweek,Hlagolela .,hlakulela,Vavarira
150,kukuna,semer,2.0,postive,Verbe,sow,thwalwa,saai,Bjala .,hlwayela,kudyara
151,kuhola,recolter,4.0,postive,Verbe,harvest,okuvuniweyo,oes,buna,ukuvuna,gohwo
152,mulami,gardien,4.0,postive,Mot,guardian,umondli,voog,Mohlokomedi .,umlondolozi,muchengeti
153,kuihila,sarcle,4.0,postive,Mot,weed,ukhula,onkruid,ngwang,ukhula,masora
154,kuhakula,castrer,4.0,postive,Verbe,castrate,xholosa,kastreer,Castrate .,thambisa,kutakurwa
155,kutengula,circonsir,4.0,postive,Verbe,circumcise,soka,besny,Boloki bja go bolotša .,walusa,Kudzingisa
156,kunungana,murmurer,4.0,postive,Verbe,whisper,nyenyeza,fluister,hwenahwena,whisper,whisper
157,kubobesha,murmur,4.0,postive,Verbe,whisper,nyenyeza,fluister,hwenahwena,whisper,whisper
158,kuluatshisha,fairehabiller,4.0,postive,Verbe,to dress,ukugqoka,aan te trek,Go apara .,ukunxiba,kupfeka
159,kuvuadika,habiller,4.0,postive,Verbe,dress,gqoka,rok,seaparo,nxiba,chipfeko
160,munganga,infirmier,4.0,postive,Mot,nurse,umhlengi,verpleegster,mooki,umongikazi,mukoti
161,kumanyisha,informer,4.0,postive,Verbe,inform,tshela,inlig,tsebiša,yazisa,zivisa
162,kunvuija,expliquer,4.0,postive,Verbe,explain,chasisa,verduidelik,hlaloša,chaza,tsanangura
163,kunua,boire,4.0,postive,Verbe,drink,phuza,drink,nwa,isiselo,kunwa
164,kusangisha,additionner,4.0,postive,Verbe,add,enezelela,byvoeg,hlakanya,yongeza,wedzera
165,nvita,guerre,-7.0,negative,Mot,war,ukulwa,oorlog,ntwa,imfazwe,Hondo
166,kujika,enterrer,-5.0,negative,Verbe,bury,ngcwaba,begrawe,boloka,ukungcwaba,kuviga
167,kuakaja,arranger,4.0,postive,Verbe,arrange,lungisa,reël,beakanya,cwangcisa,ronga
168,kulela,accoucher,4.0,postive,Verbe,give birth,zala,geboorte gee,go belega .,zala,zvara
169,kulengeja,embelir,4.0,postive,Verbe,beautify,nhle,verfraai,Go kgabiša .,ubuhle,kushora
170,kukezula,purifier,4.0,postive,Verbe,purify,hlanza,suiwer,Hlwekiša .,hlamba,chinatsa
171,kusukula,netoyer,4.0,postive,Verbe,clean,hlanza,skoon,hlwekile,icocekile,chenesa
172,kabalamatuku,calendrier,4.0,postive,Mot,calendar,unsukuzonke,kalender,Tšhupamabaka ya .,ikhalenda,Karenda
173,kubueja,inserer,4.0,postive,Verbe,insert,faka,invoeg,tsenya,faka,isa
174,Kuludika,adresser,4.0,postive,Verbe,address,beka,adres,aterese,idilesi,Kero
175,Kubela,eduquer,4.0,postive,Verbe,educate,fundisa,opvoed,Ruta .,fundisa,dzidzisa
176,Tshienzedi,acte,4.0,postive,Mot,act,dlala,optree,molao,isenzo,chiito
177,Kushimuna,vaincre,4.0,postive,Verbe,defeat,nqoba,nederlaag,fenya,yoyisiwe,kukunda
178,Kutumbisha,louer,4.0,postive,Verbe,to rent out,ukuqasha,te verhuur,Go hira .,ukuqesha ngaphandle,kubvarura
179,kukukuila,adorer,4.0,postive,Verbe,worship,dumisa,aanbidding,tumiša,unqulo,Kunamata
180,Kutangalaja,propager,4.0,postive,Verbe,propagate,landa,voortplant,Phatlalatša .,ukusasaza,kuparadzira
181,Dizakala,tremblement,4.0,postive,Verbe,tremor,ukuzamazama komhlaba okulamalisa amanje,bewing,Go thothomela .,ungcangcazela,trement
182,Kuzakala,trembler,4.0,postive,Verbe,tremble,qhaqhazela,bewe,thothomela .,thuthumela,kudedera
183,Kutshibuka,fracturer,-5.0,negative,Verbe,fracture,ukwaphuka,breuk,Go robega .,ukwaphuka,kupwanyika
184,Kukuta,rassasier,3.0,postive,Verbe,satiate,isilingisi,versadig,Kgegea .,sathise,Satiate
185,Kujima,eteindre,3.0,postive,Verbe,turn off,vala,skakel af,Tima .,Cima,dzima
186,Kutemesha,allumer,3.0,postive,Verbe,to light up,ukukhanyisa,te verlig,Go boneša .,Ukukhanyisa,kuvhenekera
187,kusemena,approcher,3.0,postive,Verbe,approach,sondela,benadering,batamela,indlela,nzira
188,Kuntekela,observer,3.0,postive,Verbe,observe,phawula,waarneem,lemoga,qaphela,cherechedza
189,Kufangikisha,ressembler,3.0,postive,Verbe,look like,kufana ne,lyk,Lebelela bjalo ka .,ibonakala njenge,fanana
190,Kumonununa,revoir,3.0,postive,Verbe,goodbye,Hamba kahle,totsiens,šala gabotse,Sala kakuhle,Sara mushe
191,Kutshina,craindre,3.0,postive,Verbe,to fear,ukwesaba,te vrees,Go tshaba .,Ukoyika,kutya
192,Kuluka,vomir,-3.0,negative,Verbe,to vomit,ukugabha,om te braak,Go hlatša .,ukuhlanza,kurutsa
193,Miengu,nauser,-4.0,negative,Verbe,nause,ngenisa,naarheid,Go hlatša .,i-nause,kusuwa
194,tshieleka,serment,4.0,postive,Verbe,oath,isifungo,eed,kano,isifungo,mhiko
195,Kowela,nager,4.0,postive,Verbe,swim,bhukuda,swem,rutha,ukuqubha,Shambira
196,Kudina,noyer,-2.0,negative,Verbe,walnut,ziyadliwa,okkerneut,Walnut .,i-walnut,walnut
197,Kuhuyakana,respirer,5.0,postive,Verbe,breathe,phefumula,asemhaal,hema,uphefumla,kufema
198,Kuinyija,plonger,5.0,postive,Verbe,dive,ziphonsa ngekhanda emanzini,duik,thinya,dive,Dive
199,Kubola,mouiller,-6.0,negative,Verbe,wet,-manzi,nat,thapile,emanzi,kunyorova
200,Kubungila,somnoler,3.0,postive,Verbe,doze,qaphela,sluimer,DOZE .,i-doze,Doze
201,Kulota,rever,3.0,postive,Verbe,dream,iphupha,droom,toro,iphupha,kurota
202,Butuku,nuit,-5.0,negative,Mot,night,ubusuku,nag,bošego,busuku,husiku
203,Dituku,jour,7.0,postive,Mot,day,usuku,dag,letšatši,usuku,zuva
204,Ditunga,pays,7.0,postive,Mot,country,izwe,land,naga,ilizwe,nyika
205,Kumuenena,dominer,7.0,postive,Verbe,dominate,busa,oorheers,Laola .,kulawula,kutonga
206,Tshimenga,ville,7.0,postive,Mot,city,idolobha,stad,toropokgolo,isixeko,guta
207,Mulondi,village,7.0,postive,Mot,village,umuzi,dorpie,motse,ilali,musha
208,Kuvuma,vibrer,7.0,postive,Verbe,vibrate,vevezela,vibreer,Go thothomela .,hluma,vibrate
209,Mulondi,coureur,7.0,postive,Verbe,runner,umgijimi,hardloper,Semathi .,Imbaleki,mumhanyi
210,Momunyi,voyant,7.0,postive,Verbe,indicator,okokukhonkotha,aanwyser,Sešupo sa .,isalathi,chiratidzo
211,Nsanyanga,sentiment,7.0,postive,Mot,feeling,ukuzwakala,gevoel,maikutlo,imvakalelo,kunzwa
212,Kujingila,souhaiter,7.0,postive,Verbe,to wish,ukufisa,te wens,go lakatsa .,ukunqwenela,kushuvira
213,Kukehesha,reduire,7.0,postive,Verbe,reduce,phungula,verminder,fokotša,ukunciphisa,kuderedza
214,Mavuala,vague,-4.0,negative,Mot,wave,vayizela,golf,lephoto,amaza,wave
215,tshipepela,tempete,-4.0,negative,Mot,storm,isivunguvungu,storm,ledimo,isaqhwithi,Dutu
216,Kudiombola,decevoir,-4.0,negative,Verbe,disappoint,dumaza,teleurstel,Kganyoga .,ukuphoxeka,kuodza moyo
217,Munyengi,cambrioleur,-4.0,negative,Verbe,burglar,umgqekezi,inbreker,Mohodu wa lehodu .,burglar,burglar
218,Kukankamija,encourager,6.0,postive,Mot,encourage,khuthaza,aanmoedig,hlohleletša,khuthaza,kurudzira
219,Disankisha,rendreheureux,6.0,postive,Verbe,make happy,yenza ujabule,gelukkig maak,Dira gore o thabe .,Yonwaba,ita kufara
220,Diambuluisha,aider,6.0,postive,Verbe,help,Usizo,help,thušo,Nceda,Rubatsiro
221,Kumupetesha,apporter,6.0,postive,Verbe,bring,letha,bring,tliša,yizise,uyai
222,Ditekemena,esperance,6.0,postive,Mot,hope,ithemba,hoop,kholofelo,Ithemba,Tariro
223,Kulongesha,enseigner,6.0,postive,Verbe,teach,fundisa,leer,ruta,fundisa,Dzidzisa
224,Kukonkolola,examiner,6.0,postive,Verbe,examine,hlola,ondersoek,hlahloba,vavanya,ONA
225,Kanyinganinga,stress,-7.0,negative,Mot,stress,ubunzima,stres,kgatelelo,uxinzelelo,kushushikana
226,Kutantamena,supporter,5.0,postive,Verbe,support,singatha,ondersteun,thekga,inkxaso,Tsigiro
227,Kansungansunga,injustice,-3.0,negative,Mot,injustice,ukwenza okungalungile,onregverdigheid,Go hloka toka .,ukungabikho kokusesikweni,kusaruramisira
228,Kukumbaja,realiser,4.0,postive,Verbe,realize,bona,besef,lemoga,qaphela,ziva
229,Bibunyi,abondance,4.0,postive,Mot,abundance,ubuningi,oorvloed,bontši,ubuninzi,zvakawanda
230,Kumbusha,enlever,4.0,postive,Verbe,to remove,ukususa,te verwyder,Go Tlosa .,ukususa,kubvisa
231,Tshijiengu,cercle,4.0,postive,Mot,circle,zungeza,sirkel,sediko,isangqa,denderedzwa
232,Buloba,Terre,4.0,postive,Mot,Earth,Inhlabathi,Aarde,Lefase,Umhlaba,Pasi
233,Bionsu,tout,0.0,neutral,Mot,All,-Nke,Almal,Ka moka,Zonke,Zvese
234,Kuikala,etre,0.0,neutral,Verbe,be,yiba,wees,go ba,yiba,be
235,Bikukibua,Creature,5.0,postive,Mot,Creature,Isilwane,Skepsel,Sebopiwa .,Isidalwa,Chisikwa
236,Moyi,vie,5.0,postive,Mot,life,impilo,lewe,bophelo,ubomi,Hupenyu
237,Bulelela,Verité,5.0,postive,Mot,Truth,Iqiniso,Waarheid,Bonnete,Inyani,Chokwadi
238,Kufunda,ecrire,5.0,postive,Verbe,to write,ukubhala,te skryf,Go ngwala .,ukubhala,kunyora
239,Kunianga,abimer,-4.0,negative,Verbe,damage,umonakalo,skade,tshenyo,umonakalo,kukuvara
240,Kumanyisha,informer,3.0,postive,Verbe,inform,tshela,inlig,tsebiša,yazisa,zivisa
241,Biabunyi,beaucoup,3.0,postive,Mot,a lot,okuningi,baie,kudu,Okuninzi,zvakawanda
242,Tshikondo,periode,3.0,postive,Mot,period,isikhathi,tydperk,paka,ixesha,nguva
243,Tshilejelu,exemple,3.0,postive,Mot,example,isibonelo,voorbeeld,mohlala,umzekelo,Muenzaniso
